,web-scraper-order,brand,name_details_raw,ps,km,reg_year,price,gear_type,ps_cat,fuel_type_benzin,fuel_type_diesel,fuel_type_elektro,address,lat,lon
115,1704382153-147,FORD,Transit Connect Van T230 1.6 TDCi Trend,95.0,83000.0,2016.0,14900,Manuell,0 - 249,0,1,0,"Ettiswilerstrasse 1, 6242 Wauwil",47.18366622924805,8.027242660522461
118,1704382160-150,AUDI,Q3 2.0 TFSI quattro S-tronic,211.0,145000.0,2014.0,15750,Automat,0 - 249,1,0,0,"Via Somplaz 33, 7500 St.Moritz",46.49224090576172,9.833416938781738
120,1704382168-152,AUDI,SQ5 TDI quattro tiptronic,385.0,29000.0,2021.0,67900,Automat,250 - 599,0,1,0,"Emserstrasse 2, 7000 Chur",46.845970153808594,9.506684303283691
121,1704382171-153,CITROEN,Spacetourer 2.0 BlueHDi Feel M EAT,174.0,53000.0,2019.0,45900,Automat,0 - 249,0,1,0,"Bahnhofstrasse 186, 6423 Seewen",47.03028869628906,8.628253936767578
122,1704382173-154,SKODA,Karoq 2.0 TSI SportLine 4x4 DSG,190.0,12700.0,2023.0,41900,Automat,0 - 249,1,0,0,"Route du Bois-des-Frères 85, 1219 Le Lignon - Vernier",46.211647033691406,6.104222297668457
123,1704382176-155,VW,Golf 2.0 Comfortline,115.0,212700.0,2001.0,3900,Manuell,0 - 249,1,0,0,"Fin du Mossard 5, 3280 Murten",46.91664123535156,7.107607364654541
125,1704382181-157,LAND,Range Rover Sport 5.0 V8 S/C ABDynamic Automatic,525.0,58900.0,2019.0,70990,Automat,250 - 599,1,0,0,"Muttenzerstrasse 143, 4133 Pratteln BL",47.52081298828125,7.674278736114502
126,1704382183-158,VW,Golf 1800 GTI 16V FireIce,129.0,205000.0,1991.0,24000,Manuell,0 - 249,1,0,0,"Schönebueche 10, 8222 Beringen",47.70040130615234,8.578582763671875
127,1704382186-159,FORD,Transit Custom Van 340 L1H1 Ambiente,130.0,154200.0,2017.0,10900,Manuell,0 - 249,0,1,0,"Fin du Mossard 5, 3280 Murten",46.91664123535156,7.107607364654541
128,1704382188-160,CHRYSLER,Grand Voyager 2.8 CRD Classic Line Plus Automatic,163.0,218000.0,2009.0,2000,Automat,0 - 249,0,1,0,"Fruthwilerstrasse 18, 8272 Ermatingen",47.6678352355957,9.07994270324707
129,1704382193-161,OPEL,Zafira-e Life 75kWh Business Elegance M,136.0,5900.0,2022.0,55490,Automat,0 - 249,0,0,1,"Solenbergstrasse 15, 8207 Schaffhausen",47.71452713012695,8.665546417236328
130,1704382196-162,OPEL,Astra 1.2i Turbo Swiss Plus,130.0,24200.0,2022.0,33980,Automat,0 - 249,1,0,0,"Solenbergstrasse 15, 8207 Schaffhausen",47.71452713012695,8.665546417236328
131,1704382198-163,SKODA,Fabia 1.6 TDI Ambition Plus,105.0,175000.0,2013.0,5800,Manuell,0 - 249,0,1,0,"Karl-Bügler-Strasse 6, 8413 Neftenbach",47.5190544128418,8.659324645996094
134,1704382206-166,OPEL,Crossland 1.2i Edition Automat,130.0,16800.0,2021.0,26320,Automat,0 - 249,1,0,0,"Solenbergstrasse 15, 8207 Schaffhausen",47.71452713012695,8.665546417236328
135,1704382211-168,FORD,Fiesta 1.6 16V Sport,120.0,135000.0,2009.0,4900,Manuell,0 - 249,1,0,0,"Luzernstrasse 59, 6274 Eschenbach",47.12884521484375,8.325882911682129
136,1704382214-169,BMW,528i xDrive Touring Steptronic,245.0,154000.0,2012.0,12900,Automat,0 - 249,1,0,0,"Luzernstrasse 59, 6274 Eschenbach",47.12884521484375,8.325882911682129
137,1704382216-170,AUDI,S5 Cabrio 3.0 TFSI quattro S-tronic,333.0,118000.0,2012.0,16500,Automat,250 - 599,1,0,0,"Luzernstrasse 59, 6274 Eschenbach",47.12884521484375,8.325882911682129
138,1704382222-171,FIAT,500 0.9 Twinair Turbo Lounge,85.0,50000.0,2015.0,6800,Manuell,0 - 249,1,0,0,"Karl-Bügler-Strasse 6, 8413 Neftenbach",47.5190544128418,8.659324645996094
141,1704382229-174,OPEL,Astra 1.2i Turbo Swiss Premium A,130.0,21600.0,2022.0,33890,Automat,0 - 249,1,0,0,"Solenbergstrasse 15, 8207 Schaffhausen",47.71452713012695,8.665546417236328
143,1704382234-176,RENAULT,Clio 2.0 16V Sport,180.0,60000.0,2004.0,11500,Manuell,0 - 249,1,0,0,"Route de chavalon, 70, 1844 Villeneuve VD",46.38970565795898,6.933414936065674
150,1704382264-184,VW,Golf 1.6 FSI Comfortline,115.0,185000.0,2004.0,4500,Manuell,0 - 249,1,0,0,"Herferswil 60, 8932 Mettmenstetten",47.25375747680664,8.489367485046387
151,1704382267-185,BMW,X5 xDrive 30d Steptronic,258.0,155000.0,2014.0,23900,Automat,250 - 599,0,1,0,"Hintergasse 1, 4914 Roggwil",47.24150848388672,7.820557117462158
154,1704382274-188,SEAT,Leon ST 2.0 TSI Cupra 300 4 Drive DSG,300.0,104000.0,2017.0,24900,Automat,250 - 599,1,0,0,"Bahnhofstrasse 57, 7302 Landquart",46.96859359741211,9.56213665008545
156,1704382279-190,NISSAN,Micra IG-T100 Xtronic n-way,100.0,37600.0,2019.0,14800,Automat,0 - 249,1,0,0,"Lochfeldweg, 15, 4242 Laufen",47.4244499206543,7.506217956542969
157,1704382284-191,SEAT,Alhambra 2.0 TDI Style 4x4,140.0,117600.0,2014.0,19900,Manuell,0 - 249,0,1,0,"Emserstrasse 2, 7000 Chur",46.845970153808594,9.506684303283691
161,1704382304-199,LAND,Range Rover 5.0 V8 S/C AB Automatic,525.0,29899.0,2021.0,115900,Automat,250 - 599,1,0,0,"Gewerbestrasse 6, 5702 Niederlenz",47.39886093139648,8.178794860839844
163,1704382320-204,BMW,120d xDrive Steptronic M Sport,190.0,429.0,2022.0,42900,Automat,0 - 249,0,1,0,"Gewerbestrasse 6, 5702 Niederlenz",47.39886093139648,8.178794860839844
164,1704382325-206,VW,Tiguan 2.0TSI Elegance 4Motion DSG,190.0,34200.0,2021.0,39900,Automat,0 - 249,1,0,0,"Hauptstrasse 99, 4450 Sissach",47.46461868286133,7.809111595153809
165,1704382330-208,MINI,Cooper S Cabriolet DKG,178.0,4000.0,2023.0,42900,Automat,0 - 249,1,0,0,"Chemin de la Longivue 1, 1726 Farvagny-le-Grand",46.72317886352539,7.083887100219727
166,1704382335-210,MINI,Cooper S Cabriolet DKG,192.0,19900.0,2019.0,33900,Automat,0 - 249,1,0,0,"Industriestrasse 1, 8307 Effretikon",47.418922424316406,8.684661865234375
169,1704382348-214,RENAULT,Espace 1.6 dCi Intens EDC,160.0,72800.0,2018.0,22500,Automat,0 - 249,0,1,0,"Austr. 37, 8134 Adliswil",47.31675720214844,8.52295970916748
170,1704382350-215,VW,Golf 2.0 TSI R DSG 4Motion,301.0,16500.0,2022.0,36400,Automat,250 - 599,1,0,0,"Frauenfelderstrasse 33, 8404 Winterthur",47.50594329833984,8.757323265075684
172,1704382355-217,BMW,X1 xDrive 20d xLine Steptronic,190.0,68900.0,2021.0,31900,Automat,0 - 249,0,1,0,"Industriestrasse 6, 8157 Dielsdorf",47.48363876342773,8.463322639465332
178,1704382381-226,BMW,X3 xDrive M40i Steptronic,360.0,72200.0,2019.0,44900,Automat,250 - 599,1,0,0,"Industriestrasse 6, 8157 Dielsdorf",47.48363876342773,8.463322639465332
180,1704382386-228,VW,Touran 1.5 TSI EVO Highline DSG,150.0,6900.0,2022.0,35900,Automat,0 - 249,1,0,0,"Frauenfelderstrasse 33, 8404 Winterthur",47.50594329833984,8.757323265075684
181,1704382388-229,BMW,320d xDrive Steptronic,190.0,43300.0,2019.0,35000,Automat,0 - 249,0,1,0,"Route du Simplon 16, 1895 Vionnaz",46.30835723876953,6.905149459838867
182,1704382391-230,MERCEDES-BENZ,ML 250 BlueTEC 4Matic 7G-Tronic,204.0,98800.0,2013.0,28980,Automat,0 - 249,0,1,0,"Route de Corbaroche 20, 1723  Marly",46.77054977416992,7.163113594055176
184,1704382406-235,JAGUAR,XF Sportbrake 25d Prestige AWD Automatic,241.0,130600.0,2018.0,26900,Automat,0 - 249,0,1,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
185,1704382408-236,LAND,Range Rover Evoque 2.0 Si4 SE Dynamic AT9,241.0,105000.0,2018.0,25900,Automat,0 - 249,1,0,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
186,1704382411-237,LAND,Discovery 3.0 TD6 HSE Automatic,258.0,90000.0,2017.0,42900,Automat,250 - 599,0,1,0,"Rhynerstrasse 56, 8712 Stäfa",47.24648284912109,8.73927116394043
187,1704382413-238,AUDI,Q4 Sportback e-tron 50 quattro,299.0,1000.0,2023.0,65800,Automat,250 - 599,0,0,1,"Luzernstrasse 76, 4950 Huttwil",47.114723205566406,7.865595817565918
188,1704382416-239,PEUGEOT,208 1.2 PureTech GT EAT8,130.0,101.0,2023.0,30500,Automat,0 - 249,1,0,0,"Hauptstrasse 7, 4416 Bubendorf",47.45639419555664,7.740914821624756
189,1704382418-240,FORD,Transit Custom Van 310 L1H1 Trend,105.0,67000.0,2017.0,19950,Manuell,0 - 249,0,1,0,"Sternmattweg 1, 6010 Kriens",47.02766799926758,8.297231674194336
191,1704382426-242,RENAULT,Talisman Grandtour 1.6 TCe Initiale EDC,200.0,75900.0,2016.0,17900,Automat,0 - 249,1,0,0,"Klosterrütistrasse 7, 5432 Neuenhof",47.454833984375,8.309598922729492
194,1704382434-245,SEAT,Leon ST 2.0 TDI X-Perience 4Drive DSG,184.0,189900.0,2015.0,10900,Automat,0 - 249,0,1,0,"Hintere Wässeristrasse 6, 8340 Hinwil",47.30467224121094,8.827372550964355
195,1704382436-246,AUDI,e-tron 50 Sportback S Line Attraction quattro,313.0,79000.0,2022.0,39850,Automat,250 - 599,0,0,1,"Dorfstrasse 146, 4612 Wangen bei Olten",47.34405517578125,7.874294757843018
196,1704382441-248,MERCEDES-BENZ,GLC 43 AMG 4Matic 9G-Tronic,367.0,25000.0,2019.0,55000,Automat,250 - 599,1,0,0,"Solothurnstrasse 4, 4573 Lohn-Ammannsegg",47.16495132446289,7.526492595672607
197,1704382444-249,SEAT,Altea 1.4 TSI Style Viva,125.0,167000.0,2013.0,5900,Manuell,0 - 249,1,0,0,"Solothurnstrasse 4, 4573 Lohn-Ammannsegg",47.16495132446289,7.526492595672607
198,1704382446-250,FIAT,500 1.2 Pop,69.0,125700.0,2014.0,6300,Manuell,0 - 249,1,0,0,"Solothurnstrasse 4, 4573 Lohn-Ammannsegg",47.16495132446289,7.526492595672607
